section,characteristic,site,reader_site,previous_display,current_display,comparison_status,difference_reason,denominator_definition,placement,n_participants,n_participant_days,n_observations
Participant information,Morningness–Eveningness Questionnaire score,UCR,San José (CR),,58 (40.5–69.2); n=39 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,39,,
Participant information,Morningness–Eveningness Questionnaire score,KNUST,Kumasi (GH),,62 (50.6–72.3); n=15 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,
Participant information,Social jetlag,Overall,Overall,,1 h (0 h–2.75 h); n=185 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,185,,
Participant information,Social jetlag,RISE,Borås (SE),,0.625 h (-0.0167 h–3.08 h); n=17 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Social jetlag,THUAS,Delft (NL),,0.75 h (0.0875 h–1.82 h); n=15 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,
Participant information,Social jetlag,BAUA,Dortmund (DE),,1.27 h (0.5 h–2.16 h); n=24 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,24,,
Participant information,Social jetlag,MPI,Tübingen (DE),,0.896 h (0 h–1.85 h); n=26 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,26,,
Participant information,Social jetlag,TUM,Munich (DE),,0.938 h (0.5 h–2.41 h); n=10 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,10,,
Participant information,Social jetlag,FUSPCEU,Madrid (ES),,1.38 h (0.0683 h–3.31 h); n=22 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,22,,
Participant information,Social jetlag,IZTECH,Izmir (TR),,1.08 h (0.333 h–2.04 h); n=17 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Social jetlag,UCR,San José (CR),,1.08 h (0 h–2.6 h); n=39 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,39,,
Participant information,Social jetlag,KNUST,Kumasi (GH),,0.25 h (0 h–1.3 h); n=15 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,
Participant information,Sleep duration,Overall,Overall,,7.58 h (5.16–10.27); n=1275 diary records from 184 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,184,,1275
Participant information,Sleep duration,RISE,Borås (SE),,7.42 h (5.65–9.74); n=117 diary records from 17 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,117
Participant information,Sleep duration,THUAS,Delft (NL),,7.88 h (5.75–10.00); n=101 diary records from 15 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,101
Participant information,Sleep duration,BAUA,Dortmund (DE),,7.92 h (5.67–10.28); n=149 diary records from 22 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,22,,149
Participant information,Sleep duration,MPI,Tübingen (DE),,7.43 h (4.52–9.25); n=181 diary records from 26 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,26,,181
Participant information,Sleep duration,TUM,Munich (DE),,7.80 h (5.00–10.77); n=70 diary records from 10 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,10,,70
Participant information,Sleep duration,FUSPCEU,Madrid (ES),,7.82 h (5.87–11.67); n=149 diary records from 23 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,23,,149
Participant information,Sleep duration,IZTECH,Izmir (TR),,7.83 h (4.73–11.07); n=137 diary records from 17 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,17,,137
Participant information,Sleep duration,UCR,San José (CR),,7.08 h (5.08–9.30); n=267 diary records from 39 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,39,,267
Participant information,Sleep duration,KNUST,Kumasi (GH),,7.62 h (5.01–10.73); n=104 diary records from 15 participants,ADDED,This characteristic was absent from the displayed earlier table and is now added with an explicit updated-data denominator.,Eligible normalized sleep-diary records from the whole roster; median (5th–95th percentile),mixed_or_not_applicable,15,,104
