"document","source_qmd","source_sha256","source_line","chunk_end_line","label","caption","label_option_count","caption_option_count","label_conforms","caption_nonempty","source_native_gt_static","native_gt_evidence","prohibited_output_calls","duplicate_caption_call","backend_specific_markup_present","local_gt_tbl_assertion","manuscript_role","source_contract_complete"
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",599,634,"tbl-h09-interactions","Chronotype-by-site interaction tests for the primary dataset.",1,1,TRUE,TRUE,TRUE,"gt helper: h09_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",649,686,"tbl-h09-qualified-diagnostics","Primary targets retaining at least one explicit model-check limitation.",1,1,TRUE,TRUE,TRUE,"gt helper: h09_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",753,795,"tbl-h09-gap-sensitivity","Registered dataset-sensitivity comparisons requiring qualification.",1,1,TRUE,TRUE,TRUE,"gt helper: h09_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",815,860,"tbl-h09-sensitivity-summary","Summary of structured sensitivity classifications.",1,1,TRUE,TRUE,TRUE,"gt helper: h09_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H09","notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",869,903,"tbl-h09-mean-timing-sensitivity","Distinct mean-timing sensitivity outside the registered five-metric families.",1,1,TRUE,TRUE,TRUE,"gt helper: h09_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",373,392,"tbl-h10-formulas","Registered model formulas.",1,1,TRUE,TRUE,TRUE,"gt helper: h10_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",396,416,"tbl-h10-response-contract","Response specification for the 17 registered metrics.",1,1,TRUE,TRUE,TRUE,"gt helper: h10_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",420,449,"tbl-h10-multiplicity","Multiplicity-family verification for the primary dataset.",1,1,TRUE,TRUE,TRUE,"gt helper: h10_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",470,475,"tbl-h10-main-results","The 11 main associations retained after FDR adjustment.",1,1,TRUE,TRUE,TRUE,"gt helper: retained_main_result_table","",FALSE,FALSE,FALSE,"main table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",487,492,"tbl-h10-near-age","Primary near-eye age associations.",1,1,TRUE,TRUE,TRUE,"gt helper: main_result_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",513,518,"tbl-h10-near-sex","Primary near-eye measured biological-sex associations.",1,1,TRUE,TRUE,TRUE,"gt helper: main_result_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",541,546,"tbl-h10-chest-age","Complementary chest age associations.",1,1,TRUE,TRUE,TRUE,"gt helper: main_result_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",552,557,"tbl-h10-chest-sex","Complementary chest measured biological-sex associations.",1,1,TRUE,TRUE,TRUE,"gt helper: main_result_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",563,606,"tbl-h10-supported-interactions","Age-by-site interactions meeting their FDR-adjusted rule.",1,1,TRUE,TRUE,TRUE,"gt helper: h10_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",610,648,"tbl-h10-site-estimates","Descriptive site-specific age estimates for the two retained age-by-site interactions.",1,1,TRUE,TRUE,TRUE,"gt helper: h10_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",669,687,"tbl-h10-diagnostic-counts","Model-assessment counts by sensor position and association.",1,1,TRUE,TRUE,TRUE,"gt helper: h10_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",799,830,"tbl-h10-metric-sensitivities","Declared metric-specific sensitivity estimates.",1,1,TRUE,TRUE,TRUE,"gt helper: h10_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",852,887,"tbl-h10-current-mder","Current MDER associations in the primary and gap-timing-unaware datasets.",1,1,TRUE,TRUE,TRUE,"gt helper: h10_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",889,921,"tbl-h10-current-mder-distribution","Current MDER distribution and influence assessment.",1,1,TRUE,TRUE,TRUE,"gt helper: h10_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H10","notebooks/hypotheses/H10.qmd","3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f",927,956,"tbl-h10-stability","Stability of the 11 retained main findings.",1,1,TRUE,TRUE,TRUE,"gt helper: h10_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",652,659,"tbl-h11-primary-samples","Exact fitted samples for the primary near-eye and complementary chest analyses.",1,1,TRUE,TRUE,TRUE,"gt helper: sample_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",724,729,"tbl-h11-global-tests","Complete-curve tests for the primary near-eye and complementary chest analyses.",1,1,TRUE,TRUE,TRUE,"gt helper: principal_global_test_table","",FALSE,FALSE,FALSE,"main table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",770,775,"tbl-h11-near-effect-size","Primary near-eye biological-sex effect-size estimators.",1,1,TRUE,TRUE,TRUE,"gt helper: effect_size_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",805,810,"tbl-h11-chest-effect-size","Complementary chest biological-sex effect-size estimators.",1,1,TRUE,TRUE,TRUE,"gt helper: effect_size_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",824,834,"tbl-h11-near-decomposition","Primary near-eye level and shape attribution.",1,1,TRUE,TRUE,TRUE,"gt helper: decomposition_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",846,856,"tbl-h11-chest-decomposition","Complementary chest level and shape attribution.",1,1,TRUE,TRUE,TRUE,"gt helper: decomposition_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",892,897,"tbl-h11-activity-samples","Exact fitted samples for the exploratory activity-context sensitivity.",1,1,TRUE,TRUE,TRUE,"gt helper: sample_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",923,928,"tbl-h11-activity-global-comparison","Accepted and exploratory activity-context global complete-curve tests.",1,1,TRUE,TRUE,TRUE,"gt helper: activity_comparison_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",981,986,"tbl-h11-activity-diagnostics","Model checks for the exploratory same-sample activity-context models.",1,1,TRUE,TRUE,TRUE,"gt helper: activity_diagnostic_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",1007,1014,"tbl-h11-sensitivity-samples","Exact fitted samples for the gap-timing-unaware sensitivity.",1,1,TRUE,TRUE,TRUE,"gt helper: sample_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",1020,1027,"tbl-h11-sensitivity-global","Global complete-curve tests in the gap-timing-unaware dataset.",1,1,TRUE,TRUE,TRUE,"gt helper: global_test_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",1032,1039,"tbl-h11-sensitivity-decomposition","Level and shape decompositions in the gap-timing-unaware dataset.",1,1,TRUE,TRUE,TRUE,"gt helper: decomposition_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",1102,1107,"tbl-h11-diagnostic-assessment","Model-check assessment for every fitted H11 model.",1,1,TRUE,TRUE,TRUE,"gt helper: diagnostic_table","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",1227,1262,"tbl-h11-data-deviations","H11 data, placement, and estimand deviations or clarifications.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H11","notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",1264,1298,"tbl-h11-model-deviations","H11 model, inference, and reporting deviations or clarifications.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
